Frecuencia_central_Hz,Potencia_dBm,Error_dB
100000000.0,-26.079786,-1.0797859999999986
200000000.0,-25.72299,-0.7229899999999994
300000000.0,-25.647623,-0.6476229999999994
400000000.0,-26.417868,-1.4178679999999986
500000000.0,-26.75769,-1.7576900000000002
600000000.0,-26.958712,-1.9587119999999985
700000000.0,-26.693058,-1.6930580000000006
800000000.0,-27.072891,-2.0728909999999985
900000000.0,-27.197382,-2.197382000000001
1000000000.0,-28.306543,-3.3065430000000013
1100000000.0,-28.811241,-3.811240999999999
1200000000.0,-28.739817,-3.7398169999999986
1300000000.0,-29.636215,-4.636215
1400000000.0,-30.554104,-5.554103999999999
1500000000.0,-31.214115,-6.214115
1600000000.0,-31.766016,-6.7660160000000005
1700000000.0,-32.6825,-7.682499999999997
1800000000.0,-34.176132,-9.176132000000003
1900000000.0,-35.545914,-10.545914000000003
2000000000.0,-38.139412,-13.139412
2100000000.0,-40.46629,-15.46629
2200000000.0,-29.89471,-4.89471
2300000000.0,-29.786682,-4.786681999999999
2400000000.0,-30.244236,-5.244236000000001
2500000000.0,-31.347069,-6.347069000000001
2600000000.0,-33.507145,-8.507145000000001
2700000000.0,-35.718132,-10.718131999999997
2800000000.0,-50.033005,-25.033005000000003
2900000000.0,-52.184505,-27.184505
3000000000.0,-54.190025,-29.190025
3100000000.0,-53.430523,-28.430523
3200000000.0,-57.563805,-32.563805
3300000000.0,-59.051796,-34.051796
3400000000.0,-58.720573,-33.720573
3500000000.0,-62.303825,-37.303825
3600000000.0,-65.71651,-40.71651
3700000000.0,-66.1387,-41.1387
3800000000.0,-66.040276,-41.040276000000006
3900000000.0,-65.94735,-40.94735
4000000000.0,-64.8311,-39.831100000000006
4100000000.0,-64.505325,-39.505325
4200000000.0,-63.82316,-38.82316
4300000000.0,-63.408417,-38.408417
4400000000.0,-63.80433,-38.80433
4500000000.0,-63.898743,-38.898743
4600000000.0,-63.944477,-38.944477
4700000000.0,-64.09015,-39.090149999999994
4800000000.0,-62.91123,-37.91123
4900000000.0,-62.00042,-37.00042
5000000000.0,-63.814217,-38.814217
5100000000.0,-64.59035,-39.59035
5200000000.0,-64.81208,-39.812079999999995
5300000000.0,-64.35119,-39.35119
5400000000.0,-65.378746,-40.37874600000001
5500000000.0,-65.819145,-40.819145000000006
5600000000.0,-66.03943,-41.039429999999996
5700000000.0,-65.86067,-40.86067
5800000000.0,-66.117775,-41.117774999999995
5900000000.0,-65.67468,-40.674679999999995

Promedio,-47.79797967796611,-22.797979677966104
Desviación,16.565556992438243,16.565556992438243
Varianza,274.41767846971953,274.41767846971953
